"age","gender","size","breed"
"Baby","Female","Medium","Abyssinian"
"Young","Female","Large","Abyssinian"
"Adult","Male","Large","Abyssinian"
"Senior","Male","Medium","Abyssinian"
"Senior","Female","Medium","Abyssinian"
"Senior","Male","Medium","Abyssinian"
"Young","Male","Medium","Abyssinian"
"Adult","Male","Medium","Abyssinian"
"Adult","Female","Small","Abyssinian"
"Adult","Female","Medium","Abyssinian"
"Baby","Female","Medium","Abyssinian"
"Baby","Female","Medium","Abyssinian"
"Adult","Female","Medium","Abyssinian"
"Young","Female","Medium","Abyssinian"
"Young","Male","Large","Abyssinian"
"Adult","Male","Large","Abyssinian"
"Young","Unknown","Medium","Abyssinian"
"Young","Female","Extra Large","Abyssinian"
"Adult","Male","Large","Abyssinian"
"Adult","Female","Medium","Abyssinian"
"Young","Female","Small","Abyssinian"
"Adult","Male","Medium","Abyssinian"
"Adult","Male","Small","Abyssinian"
"Adult","Female","Medium","American Bobtail"
"Adult","Female","Small","American Bobtail"
"Baby","Male","Medium","American Bobtail"
"Baby","Male","Small","American Bobtail"
"Baby","Female","Small","American Bobtail"
"Baby","Male","Small","American Bobtail"
"Baby","Male","Small","American Bobtail"
"Young","Male","Medium","American Bobtail"
"Young","Male","Medium","American Bobtail"
"Young","Female","Medium","American Bobtail"
"Adult","Female","Medium","American Bobtail"
"Adult","Female","Medium","American Bobtail"
"Baby","Female","Medium","American Bobtail"
"Baby","Male","Large","American Bobtail"
"Young","Female","Small","American Bobtail"
"Baby","Male","Medium","American Bobtail"
"Baby","Male","Medium","American Bobtail"
"Adult","Female","Medium","American Bobtail"
"Baby","Female","Medium","American Bobtail"
"Adult","Male","Large","American Bobtail"
"Adult","Male","Medium","American Bobtail"
"Adult","Female","Extra Large","American Bobtail"
"Adult","Male","Medium","American Bobtail"
"Adult","Female","Medium","American Bobtail"
"Adult","Male","Medium","American Bobtail"
"Adult","Male","Medium","American Bobtail"
"Adult","Male","Small","American Bobtail"
"Baby","Female","Medium","American Bobtail"
